Csource;Cultmode;Mu;q_s;q_Ac;q_Lac;q_Pyr;q_O2;q_CO2;C_Balance
Glucose;Batch;2.24;30.06;7.85575038713019;1.08596349268663;NaN;44.4229903524966;45.6963916373833;83.1674135546352
Xylose;Batch;1.52;34.9;0;0;NaN;NaN;NaN;NaN
Glycerol;Batch;1.95;49.06;0;0;0;NaN;NaN;NaN
Acetate;Batch;0.459;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Galactose;Batch;0.72;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Maltose;Batch;0.76;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Sucrose;Batch;1.91;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Cellobiose;Batch;1.89;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Glycogen;Batch;1.42;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Mannitol;Batch;1.56;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Glucose;Chemostat;0.0980216666666667;3.28879808986455;0.0;0.00370520236423301;NaN;13.8682510630645;13.5699143940953;87.7486730425333
Glucose;Chemostat;0.186995833333333;4.72019025377683;0.0;0.0112434188288337;NaN;15.6247200044176;15.5606778792421;80.2163820134089
Glucose;Chemostat;0.794625;13.4524908686019;0.0;0.0633444293972142;NaN;30.6757906527276;31.5483836404237;76.8264462988733
Glucose;Chemostat;1.2007625;18.4955677953783;0.0;0.090918818573564;NaN;39.3004588955488;39.132878275732;76.7299524938173
Glucose;Chemostat;1.596;22.6935596092584;0.0;0.0630471934446381;NaN;45.8973997167792;44.6495768148182;77.5843324455273
Glucose;Chemostat;1.70583333333333;23.4152144263039;0.0;0.137889792929101;NaN;48.1966990443473;48.1023884789862;80.7889439830784
Glucose;Chemostat;1.7745;24.019920156067;2.61404837528229;0.308827216971432;NaN;51.3980175170847;46.1014430200928;83.1652177255154
Glucose;Chemostat;1.976875;28.3417167633541;6.37452452599763;0.3315852059098;NaN;44.8687894784009;45.563605674785;79.1638550399265